Fp1	458105
Fpz	6.77452e+06
Fp2	371883
F7	355434
F3	422934
Fz	5.85552e+06
F4	396728
F8	358768
FC5	659499
FC1	520268
FC2	355734
FC6	365815
M1	1.32423e+06
T7	269466
C3	361979
Cz	364040
C4	377298
T8	376092
M2	366540
CP5	461391
CP1	382928
CP2	366540
CP6	405010
P7	496373
P3	491615
Pz	360252
P4	374325
P8	354309
POz	546547
O1	369843
O2	375497
EOG	370854
AF7	352184
AF3	213689
AF4	377735
AF8	582757
F5	350851
F1	459764
F2	366032
F6	476452
FC3	357014
FCz	711609
FC4	366176
C5	1.77513e+06
C1	346496
C2	4.0338e+06
C6	369612
CP3	1.21451e+06
CP4	786614
P5	453805
P1	367646
P2	348600
P6	6.16275e+06
PO5	512565
PO3	375328
PO4	345256
PO6	354544
FT7	349767
FT8	537037
TP7	364602
TP8	363760
PO7	344000
PO8	579262
Oz	359796
